Date,Event,Price,Price/Sq_Ft,Source,listing_page
01/27/2023,Listed,"$999,000 ",$272 ,Austin,https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
12/13/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
10/14/2022,Listed,"$1,100,000 ",$300 ,Austin,https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
01/25/2017,Listing removed,"$3,400 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
01/04/2017,Price Changed for rent,"$3,400 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
12/03/2016,Listed for rent,"$3,500 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
12/09/2005,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
01/26/2023,Listed,"$955,000 ",$348 ,Austin,https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
08/28/2015,Listing removed,"$2,749 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
08/15/2015,Listed for rent,"$2,749 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
03/26/2001,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
11/24/1993,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
01/17/2023,Listed,"$569,000 ",$320 ,Austin,https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
09/14/2020,Listing removed,"$2,200 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
10/23/2019,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
10/02/2019,Listed for rent,"$2,200 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
09/16/2019,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
05/16/2016,Listing removed,"$2,100 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
05/10/2016,Listed for rent,"$2,100 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
01/23/2023,Listed,"$1,250,000 ",$398 ,Houston,https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
01/13/2023,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
01/05/2023,Listed,"$1,250,000 ",$370 ,Austin,https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
10/27/2020,Listing removed,"$4,500 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
08/27/2020,Listed for rent,"$4,500 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
02/03/2018,Listing removed,"$4,000 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
12/15/2017,Listed for rent,"$4,000 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
01/17/2023,Listed,"$765,000 ",$327 ,Austin,https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
11/24/2020,Listing removed,"$2,595 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
01/09/2018,Listing removed,"$2,300 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
12/30/2017,Listed for rent,"$2,300 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
08/15/2015,Listing removed,"$2,495 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
08/04/2015,Listed for rent,"$2,495 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
08/31/2006,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
01/20/2023,Listed,"$2,350,000 ",$475 ,Austin,https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
12/06/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
10/13/2022,Price Changed,"$2,495,000 ",$505 ,Austin,https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
09/30/2022,Listed,"$2,695,000 ",$545 ,Austin,https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
04/19/2021,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
10/19/2022,Price Changed,"$1,090,000 ",$305 ,Austin,https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
10/04/2022,Price Changed,"$1,288,888 ",$361 ,Austin,https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
09/30/2022,Price Changed,"$1,090,000 ",$305 ,Austin,https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
08/26/2022,Price Changed,"$1,248,888 ",$349 ,Austin,https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
07/22/2022,Listed,"$1,288,888 ",$361 ,Austin,https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
12/18/2014,Listing removed,"$479,999 ",$134 ,Austin,https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
10/23/2014,Price Changed,"$479,999 ",$134 ,Austin,https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
12/01/2022,Price Changed,"$999,000 ",$310 ,Austin,https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
10/23/2022,Price Changed,"$1,019,160 ",$316 ,Austin,https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
09/26/2022,Price Changed,"$1,100,000 ",$341 ,Austin,https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
09/16/2022,Price Changed,"$1,125,000 ",$349 ,Austin,https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
09/02/2022,Price Changed,"$1,150,000 ",$357 ,Austin,https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
06/20/2022,Price Changed,"$1,199,000 ",$372 ,Austin,https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
06/10/2022,Listed,"$1,250,000 ",$388 ,Austin,https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
12/02/2022,Price Changed,"$675,000 ",$246 ,Austin,https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
10/12/2022,Price Changed,"$749,000 ",$273 ,Austin,https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
10/03/2022,Listed,"$799,000 ",$288 ,Austin,https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
09/11/2013,Listing removed,"$379,000 ",$141 ,Austin,https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
07/18/2013,Listed,"$379,000 ",$141 ,Austin,https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
12/22/2006,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
01/26/2023,Relisted,"$1,400,927 ",$367 ,Austin,https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
12/07/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
11/30/2022,Price Changed,"$1,280,927 ",$336 ,Austin,https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
11/07/2022,Price Changed,"$1,300,927 ",$341 ,Austin,https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
11/02/2022,Price Changed,"$1,350,927 ",$354 ,Austin,https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
10/22/2022,Price Changed,"$1,385,927 ",$363 ,Austin,https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
10/18/2022,Price Changed,"$1,400,307 ",$367 ,Austin,https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
01/25/2023,Listed,"$859,999 ",$361 ,Austin,https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
01/03/2022,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
06/27/2005,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
03/23/2005,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
10/23/2002,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
08/18/1999,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
01/26/2023,Price Changed,"$745,000 ",$266 ,Austin,https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
11/20/2022,Listed,"$755,000 ",$270 ,Austin,https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
06/27/2013,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
04/05/2009,Listing removed,"$290,000 ",$104 ,Austin,https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
04/05/2009,Listing removed,"$2,000 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
03/19/2009,Listed,"$290,000 ",$104 ,Austin,https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
02/13/2009,Listed for rent,"$2,000 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
09/27/2022,Listed,"$1,599,000 ",$488 ,Austin,https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
12/02/2014,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
11/09/2013,Listing removed,"$495,000 ",$151 ,Austin,https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
10/03/2013,Listed,"$495,000 ",$151 ,Austin,https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
05/27/2010,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
03/11/2010,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
05/25/2004,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
01/11/2023,Price Changed,"$765,000 ",$290 ,Austin,https://www.realtor.com/realestateandhomes-detail/10817-Beachmont-Ln_Austin_TX_78739_M71120-63616
12/08/2022,Listed,"$775,000 ",$294 ,Austin,https://www.realtor.com/realestateandhomes-detail/10817-Beachmont-Ln_Austin_TX_78739_M71120-63616
12/20/2000,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/10817-Beachmont-Ln_Austin_TX_78739_M71120-63616
08/30/1999,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/10817-Beachmont-Ln_Austin_TX_78739_M71120-63616
08/13/1998,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/10817-Beachmont-Ln_Austin_TX_78739_M71120-63616
04/17/1998,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/10817-Beachmont-Ln_Austin_TX_78739_M71120-63616
01/12/2023,Price Changed,"$612,000 ",$266 ,Austin,https://www.realtor.com/realestateandhomes-detail/5917-York-Bridge-Cir_Austin_TX_78749_M87277-22408
11/30/2022,Price Changed,"$622,000 ",$270 ,Austin,https://www.realtor.com/realestateandhomes-detail/5917-York-Bridge-Cir_Austin_TX_78749_M87277-22408
11/23/2022,Price Changed,"$628,000 ",$272 ,Austin,https://www.realtor.com/realestateandhomes-detail/5917-York-Bridge-Cir_Austin_TX_78749_M87277-22408
11/18/2022,Listed,"$639,000 ",$277 ,Austin,https://www.realtor.com/realestateandhomes-detail/5917-York-Bridge-Cir_Austin_TX_78749_M87277-22408
11/16/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/5917-York-Bridge-Cir_Austin_TX_78749_M87277-22408
11/08/2022,Price Changed,"$666,666 ",$289 ,Austin,https://www.realtor.com/realestateandhomes-detail/5917-York-Bridge-Cir_Austin_TX_78749_M87277-22408
11/02/2022,Price Changed,"$675,000 ",$293 ,Austin,https://www.realtor.com/realestateandhomes-detail/5917-York-Bridge-Cir_Austin_TX_78749_M87277-22408
10/28/2022,Listed,"$719,000 ",$401 ,Austin,https://www.realtor.com/realestateandhomes-detail/4920-Hibiscus-Valley-Dr_Austin_TX_78739_M83271-61462
09/23/2015,Listing removed,"$2,200 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/4920-Hibiscus-Valley-Dr_Austin_TX_78739_M83271-61462
07/02/2014,Listing removed,"$2,300 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/4920-Hibiscus-Valley-Dr_Austin_TX_78739_M83271-61462
05/19/2014,Listed for rent,"$2,300 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/4920-Hibiscus-Valley-Dr_Austin_TX_78739_M83271-61462
06/05/2012,Listing removed,"$2,250 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/4920-Hibiscus-Valley-Dr_Austin_TX_78739_M83271-61462
05/18/2012,Price Changed for rent,"$2,250 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/4920-Hibiscus-Valley-Dr_Austin_TX_78739_M83271-61462
05/08/2012,Listed for rent,"$2,300 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/4920-Hibiscus-Valley-Dr_Austin_TX_78739_M83271-61462
12/23/2022,Price Changed,"$939,000 ",$298 ,Austin,https://www.realtor.com/realestateandhomes-detail/11305-Pebble-Garden-Ln_Austin_TX_78739_M88508-50672
10/14/2022,Price Changed,"$974,900 ",$310 ,Austin,https://www.realtor.com/realestateandhomes-detail/11305-Pebble-Garden-Ln_Austin_TX_78739_M88508-50672
09/10/2022,Listed,"$979,000 ",$311 ,Austin,https://www.realtor.com/realestateandhomes-detail/11305-Pebble-Garden-Ln_Austin_TX_78739_M88508-50672
07/27/2009,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/11305-Pebble-Garden-Ln_Austin_TX_78739_M88508-50672
05/23/2009,Listing removed,"$299,000 ",$92 ,Austin,https://www.realtor.com/realestateandhomes-detail/11305-Pebble-Garden-Ln_Austin_TX_78739_M88508-50672
05/10/2009,Price Changed,"$308,000 ",$95 ,Austin,https://www.realtor.com/realestateandhomes-detail/11305-Pebble-Garden-Ln_Austin_TX_78739_M88508-50672
04/26/2009,Price Changed,"$310,000 ",$95 ,Austin,https://www.realtor.com/realestateandhomes-detail/11305-Pebble-Garden-Ln_Austin_TX_78739_M88508-50672
12/16/2022,Price Changed,"$845,000 ",$269 ,Austin,https://www.realtor.com/realestateandhomes-detail/5901-Back-Bay-Ln_Austin_TX_78739_M84562-94800
11/15/2022,Price Changed,"$874,000 ",$278 ,Austin,https://www.realtor.com/realestateandhomes-detail/5901-Back-Bay-Ln_Austin_TX_78739_M84562-94800
10/18/2022,Listed,"$899,990 ",$287 ,Austin,https://www.realtor.com/realestateandhomes-detail/5901-Back-Bay-Ln_Austin_TX_78739_M84562-94800
09/12/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/5901-Back-Bay-Ln_Austin_TX_78739_M84562-94800
08/29/2022,Price Changed,"$899,900 ",$287 ,Austin,https://www.realtor.com/realestateandhomes-detail/5901-Back-Bay-Ln_Austin_TX_78739_M84562-94800
08/12/2022,Price Changed,"$919,900 ",$293 ,Austin,https://www.realtor.com/realestateandhomes-detail/5901-Back-Bay-Ln_Austin_TX_78739_M84562-94800
07/07/2022,Price Changed,"$949,900 ",$303 ,Austin,https://www.realtor.com/realestateandhomes-detail/5901-Back-Bay-Ln_Austin_TX_78739_M84562-94800
01/03/2023,Listed,"$905,000 ",$289 ,Austin,https://www.realtor.com/realestateandhomes-detail/11721-Quintana-Cv_Austin_TX_78739_M72337-07600
01/02/2023,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/11721-Quintana-Cv_Austin_TX_78739_M72337-07600
12/14/2022,Price Changed,"$940,000 ",$300 ,Austin,https://www.realtor.com/realestateandhomes-detail/11721-Quintana-Cv_Austin_TX_78739_M72337-07600
11/30/2022,Listed,"$950,000 ",$303 ,Austin,https://www.realtor.com/realestateandhomes-detail/11721-Quintana-Cv_Austin_TX_78739_M72337-07600
11/29/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/11721-Quintana-Cv_Austin_TX_78739_M72337-07600
11/16/2022,Price Changed,"$975,000 ",$311 ,Austin,https://www.realtor.com/realestateandhomes-detail/11721-Quintana-Cv_Austin_TX_78739_M72337-07600
10/06/2022,Listed,"$999,000 ",$319 ,Austin,https://www.realtor.com/realestateandhomes-detail/11721-Quintana-Cv_Austin_TX_78739_M72337-07600
01/11/2023,Price Changed,"$630,000 ",$404 ,Austin,https://www.realtor.com/realestateandhomes-detail/10320-Snapdragon-Dr_Austin_TX_78739_M89478-88038
12/01/2022,Price Changed,"$640,000 ",$410 ,Austin,https://www.realtor.com/realestateandhomes-detail/10320-Snapdragon-Dr_Austin_TX_78739_M89478-88038
10/31/2022,Listed,"$650,000 ",$416 ,Austin,https://www.realtor.com/realestateandhomes-detail/10320-Snapdragon-Dr_Austin_TX_78739_M89478-88038
12/18/2015,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/10320-Snapdragon-Dr_Austin_TX_78739_M89478-88038
12/16/2015,Listing removed,"$309,500 ",$198 ,Austin,https://www.realtor.com/realestateandhomes-detail/10320-Snapdragon-Dr_Austin_TX_78739_M89478-88038
11/06/2015,Listed,"$309,500 ",$198 ,Austin,https://www.realtor.com/realestateandhomes-detail/10320-Snapdragon-Dr_Austin_TX_78739_M89478-88038
06/03/2003,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/10320-Snapdragon-Dr_Austin_TX_78739_M89478-88038
01/13/2023,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/5035-Bluestar-Dr_Austin_TX_78739_M77937-55654
12/02/2022,Price Changed,"$675,000 ",$285 ,CentralTexas,https://www.realtor.com/realestateandhomes-detail/5035-Bluestar-Dr_Austin_TX_78739_M77937-55654
12/02/2022,Price Changed,"$675,000 ",$285 ,Austin,https://www.realtor.com/realestateandhomes-detail/5035-Bluestar-Dr_Austin_TX_78739_M77937-55654
11/12/2022,Price Changed,"$679,000 ",$287 ,Austin,https://www.realtor.com/realestateandhomes-detail/5035-Bluestar-Dr_Austin_TX_78739_M77937-55654
11/12/2022,Price Changed,"$679,000 ",$287 ,CentralTexas,https://www.realtor.com/realestateandhomes-detail/5035-Bluestar-Dr_Austin_TX_78739_M77937-55654
10/26/2022,Price Changed,"$680,000 ",$287 ,CentralTexas,https://www.realtor.com/realestateandhomes-detail/5035-Bluestar-Dr_Austin_TX_78739_M77937-55654
10/26/2022,Price Changed,"$680,000 ",$287 ,Austin,https://www.realtor.com/realestateandhomes-detail/5035-Bluestar-Dr_Austin_TX_78739_M77937-55654
09/21/2022,Price Changed,"$1,675,000 ",$363 ,Austin,https://www.realtor.com/realestateandhomes-detail/7904-Crandall-Rd_Austin_TX_78739_M82930-82721
09/08/2022,Price Changed,"$1,788,800 ",$388 ,Austin,https://www.realtor.com/realestateandhomes-detail/7904-Crandall-Rd_Austin_TX_78739_M82930-82721
08/30/2022,Listed,"$1,795,000 ",$389 ,Austin,https://www.realtor.com/realestateandhomes-detail/7904-Crandall-Rd_Austin_TX_78739_M82930-82721
08/05/2019,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/7904-Crandall-Rd_Austin_TX_78739_M82930-82721
06/15/2019,Price Changed,"$799,000 ",$178 ,Austin,https://www.realtor.com/realestateandhomes-detail/7904-Crandall-Rd_Austin_TX_78739_M82930-82721
04/25/2019,Listed,"$825,000 ",$184 ,Austin,https://www.realtor.com/realestateandhomes-detail/7904-Crandall-Rd_Austin_TX_78739_M82930-82721
05/19/2005,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/7904-Crandall-Rd_Austin_TX_78739_M82930-82721
12/02/2022,Price Changed,"$687,000 ",$293 ,Austin,https://www.realtor.com/realestateandhomes-detail/5121-Scottish-Thistle-Dr_Austin_TX_78739_M76691-01076
11/10/2022,Listed,"$694,000 ",$296 ,Austin,https://www.realtor.com/realestateandhomes-detail/5121-Scottish-Thistle-Dr_Austin_TX_78739_M76691-01076
12/06/2013,Listing removed,"$349,500 ",$142 ,Austin,https://www.realtor.com/realestateandhomes-detail/5121-Scottish-Thistle-Dr_Austin_TX_78739_M76691-01076
10/24/2013,Listed,"$349,500 ",$142 ,Austin,https://www.realtor.com/realestateandhomes-detail/5121-Scottish-Thistle-Dr_Austin_TX_78739_M76691-01076
05/17/2010,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/5121-Scottish-Thistle-Dr_Austin_TX_78739_M76691-01076
05/06/2010,Listing removed,"$279,000 ",$119 ,Austin,https://www.realtor.com/realestateandhomes-detail/5121-Scottish-Thistle-Dr_Austin_TX_78739_M76691-01076
03/29/2010,Listed,"$279,000 ",$119 ,Austin,https://www.realtor.com/realestateandhomes-detail/5121-Scottish-Thistle-Dr_Austin_TX_78739_M76691-01076
11/30/2022,Relisted,"$1,099,000 ",$321 ,Austin,https://www.realtor.com/realestateandhomes-detail/6517-Mitra-Dr_Austin_TX_78739_M77537-64314
11/15/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/6517-Mitra-Dr_Austin_TX_78739_M77537-64314
10/20/2022,Price Changed,"$1,099,000 ",$321 ,Austin,https://www.realtor.com/realestateandhomes-detail/6517-Mitra-Dr_Austin_TX_78739_M77537-64314
10/06/2022,Price Changed,"$1,124,000 ",$329 ,Austin,https://www.realtor.com/realestateandhomes-detail/6517-Mitra-Dr_Austin_TX_78739_M77537-64314
09/23/2022,Price Changed,"$1,149,000 ",$336 ,Austin,https://www.realtor.com/realestateandhomes-detail/6517-Mitra-Dr_Austin_TX_78739_M77537-64314
08/04/2022,Listed,"$1,195,000 ",$350 ,Austin,https://www.realtor.com/realestateandhomes-detail/6517-Mitra-Dr_Austin_TX_78739_M77537-64314
03/09/2011,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/6517-Mitra-Dr_Austin_TX_78739_M77537-64314
12/14/2022,Price Changed,"$825,000 ",$264 ,Austin,https://www.realtor.com/realestateandhomes-detail/10808-Split-Stone-Way_Austin_TX_78739_M83066-49266
11/26/2022,Listed,"$885,000 ",$283 ,Austin,https://www.realtor.com/realestateandhomes-detail/10808-Split-Stone-Way_Austin_TX_78739_M83066-49266
01/01/2015,Listing removed,"$2,550 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/10808-Split-Stone-Way_Austin_TX_78739_M83066-49266
12/11/2014,Listed for rent,"$2,550 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/10808-Split-Stone-Way_Austin_TX_78739_M83066-49266
06/12/2013,Listing removed,"$2,450 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/10808-Split-Stone-Way_Austin_TX_78739_M83066-49266
06/09/2013,Listed for rent,"$2,450 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/10808-Split-Stone-Way_Austin_TX_78739_M83066-49266
05/08/2013,Listing removed,"$399,900 ",$128 ,Austin,https://www.realtor.com/realestateandhomes-detail/10808-Split-Stone-Way_Austin_TX_78739_M83066-49266
11/17/2022,Price Changed,"$799,900 ",$295 ,Austin,https://www.realtor.com/realestateandhomes-detail/6921-Estana-Ln_Austin_TX_78739_M72356-08163
10/20/2022,Price Changed,"$849,900 ",$314 ,Austin,https://www.realtor.com/realestateandhomes-detail/6921-Estana-Ln_Austin_TX_78739_M72356-08163
10/14/2022,Relisted,"$899,990 ",$332 ,Austin,https://www.realtor.com/realestateandhomes-detail/6921-Estana-Ln_Austin_TX_78739_M72356-08163
10/13/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/6921-Estana-Ln_Austin_TX_78739_M72356-08163
10/06/2022,Listed,"$899,990 ",$332 ,Austin,https://www.realtor.com/realestateandhomes-detail/6921-Estana-Ln_Austin_TX_78739_M72356-08163
11/20/2013,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/6921-Estana-Ln_Austin_TX_78739_M72356-08163
01/27/2023,Listed,"$999,000 ",$272 ,Austin,https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
